Indonesia,English,Baca
Hitam,Black,blek
Biru,Blue,blu
Hijau,Green,grin
Merah,Red,red
Putih,White,wait
Kuning,Yellow,yelo
Ungu,Purple,perpel
Jingga,Orange,orenj
Abu-abu,Gray,grei
Cokelat,Brown,brown
Merah Muda,Pink,pingk
Emas,Gold,gould
Perak,Silver,silver
Nila,Indigo,indigo
